SZAVAZOKOR,VALASZTOPOLGAR,MEGJELENTEK,URNABAN_BELYEGZES_NELKULI,URNABAN_LEBELYEGZETT,ELTERES,ERVENYTELEN,ERVENYES
08-067-001,989,673,0,673,0,9,664
08-067-002,930,663,1,663,0,5,658
08-067-003,939,678,0,678,0,7,671
08-068-001,1202,753,0,753,0,13,740
08-068-002,1254,786,0,784,-2,15,769
08-068-003,155,90,0,90,0,1,89
08-069-001,1144,764,0,764,0,14,750
08-069-002,1163,755,0,758,3,38,720
08-070-001,941,614,0,614,0,7,607
08-070-002,916,587,0,586,-1,21,565
08-070-003,820,465,0,465,0,7,458
08-071-001,1285,853,1,853,0,8,845
08-072-001,1024,658,0,657,-1,16,641
08-073-001,352,271,0,271,0,1,270
08-074-001,536,376,0,375,-1,6,369
08-075-001,261,181,0,181,0,6,175
08-076-001,777,555,0,555,0,18,537
08-076-002,703,492,0,492,0,4,488
08-077-001,955,529,0,528,-1,6,522
08-078-001,862,499,0,499,0,23,476
08-078-002,841,418,0,418,0,6,412
08-078-003,707,371,0,371,0,7,364
08-078-004,767,434,0,434,0,15,419
08-078-005,760,382,0,382,0,6,376
08-078-006,611,323,0,323,0,7,316
08-078-007,206,74,0,74,0,2,72
08-079-001,440,256,0,256,0,4,252
08-080-001,1035,534,0,534,0,11,523
08-081-001,131,80,0,78,-2,2,76
08-081-002,1139,768,0,768,0,13,755
08-081-003,871,530,0,527,-3,5,522
08-081-004,954,658,0,657,-1,12,645
08-081-005,976,673,0,670,-3,8,662
08-081-006,991,596,0,596,0,5,591
08-081-007,993,643,0,643,0,4,639
08-081-008,1130,711,1,710,-1,8,702
08-081-009,873,525,0,525,0,17,508
08-082-001,674,366,0,366,0,3,363
08-082-002,949,527,1,525,-2,6,519
08-082-003,191,92,0,92,0,4,88
08-083-001,198,149,0,149,0,3,146
08-084-001,738,572,0,572,0,17,555
08-085-001,290,187,0,179,-8,8,171
08-086-001,605,481,0,481,0,9,472
08-087-001,890,472,0,472,0,3,469
08-087-002,1112,641,0,640,-1,5,635
08-088-001,1107,726,1,726,0,8,718
08-088-002,1110,727,0,727,0,12,715
08-089-001,883,614,0,614,0,7,607
08-089-002,765,489,0,489,0,8,481
08-090-001,1106,759,0,759,0,21,738
08-091-001,430,256,0,256,0,6,250
08-092-001,746,500,0,500,0,10,490
08-092-002,1021,716,0,716,0,13,703
08-093-001,1127,758,0,757,-1,12,745
08-093-002,699,457,0,457,0,7,450
08-093-003,751,487,0,487,0,8,479
08-094-001,625,401,0,401,0,7,394
08-095-001,1143,657,0,654,-3,9,645
08-096-001,91,67,0,67,0,7,60
08-097-001,352,211,0,211,0,5,206
08-098-001,419,238,0,238,0,4,234
08-099-001,862,474,0,474,0,5,469
08-099-002,773,391,0,391,0,3,388
08-100-001,528,350,0,350,0,4,346
08-101-001,753,495,0,495,0,7,488
08-101-002,259,152,0,152,0,0,152
08-102-001,76,53,0,53,0,1,52
08-103-001,879,573,0,573,0,6,567
08-104-001,981,650,0,649,-1,5,644
08-104-002,812,496,0,496,0,4,492
08-104-003,694,338,1,338,0,1,337
08-104-004,901,558,0,558,0,3,555
08-104-005,885,532,0,531,-1,3,528
08-104-006,819,509,0,509,0,1,508
08-104-007,869,487,0,487,0,6,481
08-104-008,635,358,0,358,0,3,355
08-104-009,921,510,0,510,0,0,510
08-104-010,857,436,1,435,-1,4,431
08-104-011,876,449,0,449,0,3,446
08-104-012,671,421,0,421,0,4,417
08-104-013,863,523,0,523,0,0,523
08-104-014,845,542,0,542,0,2,540
08-104-015,919,512,0,512,0,3,509
08-104-016,936,575,1,575,0,6,569
08-104-017,711,382,0,381,-1,8,373
08-104-018,740,379,0,379,0,3,376
08-104-019,992,520,0,520,0,4,516
08-104-020,818,469,0,467,-2,7,460
08-104-021,751,385,1,385,0,4,381
08-104-022,664,394,0,394,0,0,394
08-104-023,929,482,0,480,-2,4,476
08-104-024,919,506,0,506,0,0,506
08-104-025,925,412,0,412,0,5,407
08-104-026,928,546,0,545,-1,5,540
08-104-027,676,355,0,354,-1,1,353
08-104-028,811,425,0,425,0,6,419
08-104-029,917,498,0,497,-1,28,469
08-104-030,801,453,0,457,4,37,420
08-105-001,966,568,0,568,0,4,564
08-105-002,1114,645,0,645,0,7,638
08-106-001,701,439,0,439,0,8,431
08-106-002,704,481,0,481,0,8,473
08-107-001,668,497,0,497,0,6,491
08-108-001,907,561,0,558,-3,5,553
08-109-001,1030,674,0,674,0,10,664
08-109-002,1043,679,0,679,0,11,668
08-110-001,757,507,0,507,0,13,494
08-111-001,793,540,1,539,-1,15,524
08-111-002,812,510,0,510,0,8,502
08-112-001,180,148,0,148,0,5,143
08-113-001,407,303,0,303,0,5,298
08-114-001,967,644,0,643,-1,11,632
08-114-002,1017,661,0,661,0,10,651
08-114-003,1120,697,0,695,-2,11,684
08-114-004,590,418,0,416,-2,3,413
08-115-001,714,495,0,495,0,5,490
08-116-001,838,569,0,569,0,6,563
08-116-002,751,531,0,531,0,3,528
08-116-003,816,543,0,543,0,7,536
08-117-001,1037,585,1,585,0,10,575
08-117-002,736,449,0,447,-2,9,438
08-117-003,800,463,0,463,0,6,457
08-117-004,237,166,0,166,0,2,164
08-118-001,305,193,0,193,0,1,192
08-119-001,241,164,0,164,0,3,161
08-120-001,938,589,0,589,0,12,577
08-121-001,1182,815,0,815,0,1,814
08-122-001,866,537,0,537,0,0,537
08-123-001,1038,666,0,666,0,16,650
08-123-002,914,608,0,608,0,10,598
08-124-001,284,226,0,226,0,4,222
08-125-001,85,62,0,62,0,2,60
08-126-001,226,176,0,176,0,5,171
08-127-001,528,390,0,390,0,9,381
08-128-001,407,290,0,290,0,4,286
08-128-002,540,418,0,418,0,15,403
08-128-003,386,283,0,281,-2,3,278
08-128-004,13,7,0,7,0,2,5
08-129-001,1013,666,0,666,0,7,659
08-130-001,450,246,0,246,0,1,245
08-131-001,481,292,0,292,0,5,287
08-132-001,581,372,0,372,0,9,363
08-133-001,1140,607,0,605,-2,8,597
08-133-002,1159,666,0,665,-1,7,658
08-134-001,816,507,0,506,-1,7,499
08-135-001,87,79,0,79,0,3,76
08-136-001,389,261,0,261,0,1,260
08-137-001,404,293,0,293,0,2,291
08-138-001,119,84,0,84,0,2,82
08-139-001,809,500,0,500,0,9,491
08-140-001,130,87,1,86,-1,3,83
08-141-001,221,178,0,178,0,2,176
08-142-001,279,205,0,205,0,3,202
08-143-001,420,270,0,270,0,0,270
08-144-001,266,194,0,194,0,3,191
08-145-001,352,236,0,236,0,4,232
08-146-001,480,320,0,320,0,8,312
08-146-002,182,132,0,132,0,1,131
08-146-003,70,47,0,47,0,0,47
08-147-001,273,172,0,172,0,3,169
08-148-001,224,188,0,188,0,0,188
08-149-001,905,525,1,525,0,10,515
08-150-001,1152,586,0,584,-2,5,579
08-150-002,872,447,0,446,-1,2,444
08-150-003,1005,513,0,513,0,2,511
08-150-004,872,565,0,567,2,28,539
08-150-005,753,456,0,456,0,7,449
08-150-006,854,504,0,504,0,1,503
08-150-007,948,568,0,568,0,3,565
08-150-008,743,466,0,466,0,6,460
08-150-009,999,587,0,587,0,2,585
08-150-010,1008,570,0,569,-1,3,566
08-150-011,816,437,0,437,0,3,434
08-150-012,784,455,0,455,0,3,452
08-150-013,713,376,0,376,0,1,375
08-150-014,725,417,0,417,0,6,411
08-150-015,718,420,0,420,0,3,417
08-150-016,801,445,0,445,0,2,443
08-150-017,626,382,0,382,0,1,381
08-150-018,999,623,0,623,0,0,623
08-150-019,1182,764,0,759,-5,3,756
08-150-020,837,468,0,468,0,2,466
08-150-021,1014,648,0,648,0,4,644
08-150-022,899,571,0,571,0,7,564
08-150-023,1118,723,0,723,0,0,723
08-150-024,868,509,0,507,-2,2,505
08-150-025,683,389,0,388,-1,2,386
08-150-026,645,398,0,398,0,2,396
08-150-027,820,494,0,494,0,1,493
08-150-028,956,512,1,512,0,5,507
08-150-029,1294,788,0,788,0,2,786
08-150-030,676,373,0,373,0,1,372
08-150-031,999,589,0,589,0,6,583
08-150-032,927,584,0,583,-1,1,582
08-150-033,1007,640,0,640,0,4,636
08-150-034,943,480,0,480,0,6,474
08-150-035,885,512,1,510,-2,5,505
08-150-036,1011,625,0,625,0,2,623
08-150-037,880,478,0,479,1,16,463
08-150-038,906,579,0,579,0,2,577
08-150-039,997,685,0,685,0,7,678
08-150-040,1254,832,0,832,0,6,826
08-150-041,971,667,0,668,1,13,655
08-150-042,804,554,0,554,0,2,552
08-150-043,902,554,0,556,2,27,529
08-150-044,891,558,0,560,2,23,537
08-150-045,702,481,0,481,0,1,480
08-150-046,756,443,0,443,0,1,442
08-150-047,1047,627,0,627,0,3,624
08-150-048,973,660,0,662,2,22,640
08-150-049,1299,821,0,821,0,1,820
08-150-050,753,447,0,447,0,2,445
08-151-001,694,477,0,477,0,7,470
08-152-001,1120,875,0,875,0,15,860
08-153-001,231,145,0,145,0,1,144
08-154-001,348,252,0,253,1,11,242
08-155-001,1052,740,0,739,-1,10,729
08-155-002,681,453,0,453,0,6,447
08-156-001,827,542,0,541,-1,2,539
08-157-001,696,490,0,490,0,17,473
08-158-001,1079,679,0,678,-1,6,672
08-159-001,551,389,0,389,0,7,382
08-160-001,344,257,0,257,0,8,249
08-161-001,606,359,0,359,0,3,356
08-162-001,727,444,0,444,0,5,439
08-163-001,150,99,0,100,1,8,92
08-164-001,1386,915,0,915,0,14,901
08-165-001,1183,548,0,547,-1,7,540
08-165-002,1009,562,0,562,0,9,553
08-165-003,1079,644,0,643,-1,10,633
08-166-001,855,566,0,566,0,10,556
08-166-002,875,642,0,642,0,9,633
08-167-001,266,220,0,220,0,10,210
08-168-001,793,503,0,503,0,10,493
08-169-001,636,420,0,420,0,8,412
08-170-001,69,48,0,48,0,1,47
08-171-001,422,288,0,288,0,5,283
08-172-001,712,501,0,501,0,5,496
08-172-002,698,491,0,491,0,9,482
08-172-003,763,424,0,423,-1,1,422
08-173-001,277,188,0,188,0,2,186
08-174-001,142,121,0,121,0,2,119
08-175-001,775,536,0,534,-2,8,526
08-176-001,804,476,0,475,-1,3,472
08-177-001,172,111,0,111,0,3,108
08-178-001,1125,706,0,706,0,5,701
08-179-001,339,237,0,237,0,6,231
08-180-001,121,88,0,88,0,1,87
08-181-001,528,305,0,305,0,2,303
08-182-001,418,240,0,240,0,4,236
08-183-001,338,250,0,249,-1,7,242
09-001-001,708,432,0,432,0,6,426
09-001-002,685,388,0,388,0,10,378
09-002-001,539,305,0,303,-2,9,294
09-003-001,921,553,0,552,-1,7,545
09-003-002,927,543,0,542,-1,11,531
09-004-001,946,562,0,562,0,7,555
09-005-001,1031,649,0,648,-1,4,644
09-005-002,646,405,0,405,0,2,403
09-005-003,879,565,0,564,-1,2,562
09-005-004,880,538,0,538,0,6,532
09-005-005,738,482,0,482,0,3,479
09-005-006,872,351,0,351,0,1,350
09-005-007,758,527,0,527,0,6,521
09-005-008,920,519,0,519,0,5,514
09-005-009,1002,519,0,519,0,7,512
09-005-010,783,435,0,435,0,6,429
09-005-011,997,420,0,420,0,14,406
09-005-012,871,445,0,445,0,6,439
09-005-013,852,504,0,503,-1,4,499
09-005-014,775,468,0,467,-1,6,461
09-005-015,818,541,0,541,0,6,535
09-005-016,867,506,0,506,0,10,496
09-005-017,80,39,0,39,0,1,38
09-006-001,570,292,0,292,0,4,288
09-006-002,673,306,0,306,0,5,301
09-006-003,674,336,0,336,0,4,332
09-007-001,316,190,0,190,0,8,182
09-008-001,691,425,0,425,0,4,421
09-008-002,788,453,0,452,-1,5,447
09-009-001,723,406,0,406,0,4,402
09-009-002,596,305,0,305,0,6,299
09-009-003,651,329,1,328,-1,2,326
09-009-004,916,461,0,461,0,5,456
09-009-005,590,283,0,284,1,15,269
09-009-006,814,300,1,299,-1,3,296
09-009-007,720,370,0,370,0,5,365
09-009-008,672,274,0,274,0,3,271
09-009-009,828,468,0,463,-5,4,459
09-009-010,648,327,0,327,0,1,326
09-009-011,742,419,0,419,0,2,417
09-009-012,700,423,0,422,-1,1,421
09-009-013,936,460,0,460,0,6,454
09-009-014,567,349,0,349,0,6,343
09-009-015,699,330,0,330,0,4,326
09-009-016,733,359,0,359,0,5,354
09-010-001,144,104,0,104,0,2,102
09-011-001,758,399,0,399,0,5,394
09-011-002,701,386,0,386,0,8,378
09-011-003,725,400,0,394,-6,4,390
09-011-004,964,548,0,548,0,17,531
09-011-005,732,352,0,352,0,6,346
09-012-001,600,339,0,339,0,7,332
09-012-002,640,288,0,286,-2,12,274
09-012-003,685,354,0,354,0,9,345
09-013-001,751,380,0,380,0,17,363
09-014-001,1075,703,0,702,-1,16,686
09-014-002,1037,655,0,655,0,4,651
09-014-003,1052,733,0,732,-1,4,728
09-015-001,424,239,0,239,0,4,235
09-016-001,711,450,0,449,-1,14,435
09-016-002,685,418,0,418,0,12,406
09-016-003,49,32,0,32,0,0,32
09-017-001,433,253,0,253,0,2,251
09-018-001,500,428,0,428,0,1,427
09-018-011,633,198,0,198,0,2,196
09-018-012,1402,744,0,739,-5,0,739
09-018-013,1455,510,0,510,0,4,506
09-018-014,1359,798,0,797,-1,3,794
09-018-015,1383,675,0,675,0,4,671
09-018-016,608,389,0,389,0,0,389
09-018-021,1341,776,0,776,0,3,773
09-018-022,1367,808,0,806,-2,5,801
09-018-023,1318,824,0,824,0,0,824
09-018-024,1259,777,0,777,0,2,775
09-018-025,1214,783,0,783,0,0,783
09-018-031,1206,694,0,694,0,2,692
09-018-032,1266,816,0,816,0,3,813
09-018-033,1074,678,0,678,0,1,677
09-018-034,985,606,0,606,0,2,604
09-018-035,1295,809,0,814,5,50,764
09-018-041,1083,534,0,534,0,4,530
09-018-042,1253,704,0,703,-1,2,701
09-018-043,976,473,0,473,0,10,463
09-018-044,810,392,0,392,0,2,390
09-018-045,942,517,0,516,-1,2,514
09-018-046,1298,519,0,519,0,2,517
09-018-051,1163,638,0,638,0,6,632
09-018-052,1268,688,0,688,0,5,683
09-018-053,1309,812,0,812,0,4,808
09-018-054,1238,682,0,682,0,4,678
09-018-055,1170,557,0,557,0,4,553
09-018-061,779,271,0,271,0,1,270
09-018-062,1354,471,1,471,0,4,467
09-018-063,1400,845,0,834,-11,7,827
09-018-064,586,203,0,203,0,1,202
09-018-065,1280,788,0,782,-6,4,778
09-018-066,872,547,0,547,0,2,545
09-018-067,758,481,1,481,0,3,478
09-018-071,877,328,0,328,0,2,326
09-018-072,1473,657,0,657,0,1,656
09-018-073,1437,764,0,770,6,60,710
09-018-074,1376,793,0,793,0,6,787
09-018-075,1288,768,0,767,-1,3,764
09-018-076,1251,748,0,746,-2,4,742
09-018-081,1222,563,0,567,4,41,526
09-018-082,1428,838,0,835,-3,7,828
09-018-083,1319,759,0,755,-4,4,751
09-018-084,1262,820,0,820,0,3,817
09-018-085,1049,679,0,679,0,5,674
09-018-086,886,483,1,483,0,3,480
09-018-091,1449,684,0,684,0,5,679
09-018-092,1430,521,0,520,-1,4,516
09-018-093,1448,674,0,674,0,5,669
09-018-094,1448,514,0,514,0,2,512
09-018-095,1372,817,0,817,0,4,813
09-018-101,1181,748,0,748,0,2,746
09-018-102,1185,561,0,561,0,3,558
09-018-103,1414,843,0,843,0,3,840
09-018-104,978,552,0,552,0,3,549
09-018-105,1421,774,0,773,-1,6,767
09-018-106,1442,887,0,891,4,47,844
09-018-111,1233,614,0,614,0,6,608
09-018-112,1262,666,0,666,0,3,663
09-018-113,1150,622,0,622,0,5,617
09-018-114,1059,669,1,669,0,4,665
09-018-115,1061,681,0,681,0,6,675
09-018-116,684,363,0,363,0,0,363
09-018-117,811,448,0,448,0,4,444
09-018-121,989,533,0,533,0,2,531
09-018-122,873,441,0,441,0,2,439
09-018-123,1126,590,0,590,0,4,586
09-018-124,1054,593,0,593,0,0,593
09-018-125,1105,540,2,539,-1,4,535
09-018-126,964,502,0,500,-2,0,500
09-018-127,1049,576,0,576,0,2,574
09-018-131,1111,580,0,580,0,3,577
09-018-132,1083,578,0,578,0,2,576
09-018-133,1164,601,0,600,-1,2,598
09-018-134,1117,596,0,596,0,4,592
09-018-135,1074,584,0,583,-1,1,582
09-018-136,887,403,0,402,-1,3,399
09-018-141,1387,720,0,717,-3,3,714
09-018-142,1452,810,0,808,-2,2,806
09-018-143,1479,789,0,787,-2,1,786
09-018-144,1270,579,0,576,-3,7,569
09-018-145,1068,719,0,717,-2,1,716
09-018-151,862,630,0,629,-1,2,627
09-018-152,1014,525,0,526,1,16,510
09-018-153,1367,919,1,919,0,3,916
09-018-154,1097,550,0,549,-1,8,541
09-018-155,1123,615,0,601,-14,2,599
09-018-156,932,439,2,437,-2,3,434
09-018-161,1210,689,0,688,-1,8,680
09-018-162,1053,578,0,578,0,6,572
09-018-163,1143,637,0,636,-1,3,633
09-018-164,1032,563,0,563,0,3,560
09-018-165,1162,686,0,686,0,1,685
09-018-166,1375,705,0,701,-4,4,697
09-018-171,1166,660,0,659,-1,3,656
09-018-172,937,648,0,644,-4,7,637
09-018-173,1418,865,0,843,-22,1,842
09-018-174,831,524,0,523,-1,6,517
09-018-175,1126,690,0,691,1,12,679
09-018-176,646,338,0,338,0,3,335
09-018-181,809,548,0,548,0,6,542
09-018-182,635,445,0,445,0,6,439
09-018-183,1233,801,0,801,0,4,797
09-018-184,1115,795,0,795,0,2,793
09-018-185,933,630,0,631,1,10,621
09-018-186,1324,817,0,815,-2,3,812
09-018-187,946,567,0,567,0,4,563
09-018-191,788,373,0,373,0,0,373
09-018-192,701,329,0,329,0,1,328
09-018-193,959,580,0,580,0,2,578
09-018-194,1291,734,0,734,0,4,730
09-018-195,713,441,0,441,0,1,440
09-018-196,1264,666,0,665,-1,3,662
09-018-201,953,454,0,454,0,1,453
09-018-202,1238,685,0,684,-1,4,680
09-018-203,1144,605,0,604,-1,1,603
09-018-204,1108,627,0,627,0,5,622
09-018-205,996,539,0,539,0,2,537
09-018-206,1090,658,0,658,0,9,649
09-018-211,597,364,0,364,0,1,363
09-018-212,727,394,0,394,0,4,390
09-018-213,390,260,0,260,0,0,260
09-018-214,1284,817,1,818,1,12,806
09-018-215,838,630,0,628,-2,3,625
09-018-216,1362,909,0,909,0,7,902
09-018-217,1306,943,0,942,-1,2,940
09-018-221,1078,583,1,583,0,3,580
09-018-222,1022,579,0,579,0,7,572
09-018-223,1126,595,0,597,2,24,573
09-018-224,941,548,0,548,0,1,547
09-018-225,915,591,0,591,0,4,587
09-018-226,456,283,0,283,0,0,283
09-018-231,1316,791,0,791,0,2,789
09-018-232,1449,862,0,862,0,5,857
09-018-233,1379,829,0,829,0,2,827
09-018-234,1410,893,0,892,-1,3,889
09-018-235,1119,668,0,668,0,4,664
09-019-001,972,413,0,413,0,6,407
09-019-002,919,331,0,331,0,3,328
09-019-003,857,487,0,486,-1,16,470
09-019-004,921,425,0,425,0,8,417
09-019-005,879,511,0,511,0,2,509
09-019-006,935,496,0,494,-2,11,483
09-019-007,828,455,2,456,1,19,437
09-019-008,372,113,0,113,0,6,107
09-020-001,988,541,0,541,0,11,530
09-020-002,877,444,0,444,0,9,435
09-020-003,1068,608,0,608,0,5,603
09-020-004,872,447,0,447,0,5,442
09-021-001,634,243,0,243,0,9,234
09-021-002,597,256,0,256,0,7,249
09-021-003,732,382,0,382,0,7,375
09-021-004,674,313,0,313,0,4,309
09-021-005,756,368,0,368,0,3,365
09-021-006,439,205,0,204,-1,5,199
09-021-007,138,67,0,67,0,0,67
09-022-001,1067,615,0,615,0,7,608
09-023-001,230,145,0,145,0,3,142
09-024-001,811,476,0,476,0,3,473
09-024-002,823,504,0,504,0,9,495
09-024-003,751,402,1,402,0,9,393
09-024-004,791,465,0,465,0,5,460
09-025-001,939,588,0,588,0,11,577
09-026-001,415,260,0,260,0,6,254
09-026-002,347,213,0,213,0,4,209
09-026-003,394,242,0,243,1,18,225
09-026-004,159,100,0,100,0,2,98
09-027-001,655,462,0,462,0,10,452
09-028-001,911,583,0,583,0,9,574
09-028-002,964,621,0,621,0,16,605
09-028-003,54,30,0,30,0,0,30
09-029-001,882,484,0,484,0,21,463
09-029-002,793,454,0,453,-1,5,448
09-030-001,1002,617,0,615,-2,13,602
09-030-002,829,540,0,540,0,2,538
09-030-003,646,303,0,303,0,2,301
09-030-004,1091,649,0,647,-2,5,642
09-030-005,1007,648,0,648,0,4,644
09-030-006,1197,621,0,619,-2,2,617
09-030-007,803,268,0,268,0,9,259
09-030-008,175,100,0,100,0,1,99
09-030-009,1171,599,0,600,1,15,585
09-030-010,1135,612,0,610,-2,12,598
09-030-011,775,460,0,460,0,1,459
09-030-012,1062,714,0,714,0,3,711
09-030-013,705,391,0,391,0,2,389
09-030-014,738,463,0,463,0,3,460
09-030-015,612,366,0,366,0,1,365
09-030-016,680,395,0,395,0,4,391
09-030-017,887,563,0,563,0,8,555
09-030-018,769,470,0,470,0,7,463
09-030-019,1176,734,0,733,-1,4,729
09-030-020,732,404,0,404,0,4,400
09-030-021,931,548,0,548,0,9,539
09-030-022,942,566,0,566,0,1,565
09-030-023,1118,538,1,537,-1,10,527
09-030-024,1032,481,0,480,-1,11,469
09-030-025,1121,560,0,559,-1,2,557
09-030-026,816,311,0,311,0,5,306
09-030-027,700,295,0,295,0,2,293
09-031-001,822,506,0,506,0,5,501
09-031-002,953,579,0,578,-1,16,562
09-031-003,943,616,0,615,-1,10,605
09-031-004,1018,589,0,588,-1,4,584
09-031-005,908,479,0,479,0,5,474
09-031-006,784,466,0,466,0,8,458
09-031-007,745,379,0,378,-1,9,369
09-031-008,648,390,0,390,0,5,385
09-032-001,1189,462,0,460,-2,17,443
09-032-002,1037,512,0,510,-2,59,451
09-032-003,1226,540,0,538,-2,6,532
09-032-004,1204,526,0,526,0,16,510
09-032-005,1088,472,0,472,0,17,455
09-032-006,1215,591,1,588,-3,8,580
09-032-007,1275,714,0,712,-2,6,706
09-032-008,1252,646,0,646,0,8,638
09-032-009,105,54,0,54,0,1,53
09-033-001,853,472,0,472,0,6,466
09-033-002,653,356,0,354,-2,4,350
09-033-003,778,445,0,445,0,2,443
09-033-004,877,483,0,482,-1,3,479
09-033-005,857,473,0,471,-2,4,467
09-033-006,872,591,0,591,0,5,586
09-033-007,876,494,0,494,0,4,490
09-033-008,863,452,0,449,-3,6,443
09-033-009,774,471,0,471,0,8,463
09-033-010,791,464,0,464,0,2,462
09-033-011,797,516,0,517,1,16,501
09-033-012,821,538,0,538,0,11,527
09-033-013,794,504,0,504,0,3,501
09-033-014,802,490,0,490,0,7,483
09-033-015,698,324,0,324,0,3,321
09-033-016,701,448,0,448,0,4,444
09-033-017,320,204,0,204,0,6,198
09-034-001,1421,715,0,725,10,81,644
09-034-002,1471,811,0,810,-1,6,804
09-034-003,1329,625,0,625,0,11,614
09-034-004,1255,696,0,696,0,7,689
09-034-005,1328,594,0,594,0,8,586
09-034-006,547,226,0,225,-1,3,222
09-034-007,1053,506,0,504,-2,2,502
09-034-008,1593,730,0,730,0,5,725
09-034-009,1466,691,0,692,1,17,675
09-035-001,1129,676,0,677,1,17,660
09-035-002,1069,633,1,633,0,8,625
09-035-003,883,449,0,448,-1,3,445
09-035-004,808,438,0,436,-2,3,433
09-035-005,729,377,0,376,-1,2,374
09-035-006,904,510,0,510,0,2,508
09-035-007,729,403,0,404,1,16,388
09-035-008,1183,583,0,582,-1,5,577
09-035-009,786,368,0,368,0,3,365
09-035-010,881,497,0,497,0,1,496
09-035-011,890,471,0,471,0,9,462
09-035-012,674,342,0,342,0,4,338
09-035-013,962,424,0,422,-2,1,421
09-035-014,926,441,0,441,0,2,439
09-035-015,1033,631,0,631,0,6,625
09-035-016,1177,671,0,670,-1,3,667
09-035-017,1037,502,0,502,0,11,491
09-035-018,1212,515,0,515,0,8,507
09-035-019,1212,748,0,748,0,1,747
09-035-020,1381,753,0,753,0,4,749
09-036-001,754,411,0,411,0,13,398
09-036-002,779,468,0,468,0,16,452
09-036-003,819,431,0,431,0,10,421
09-037-001,861,527,1,526,-1,24,502
09-038-001,980,671,0,671,0,12,659
09-038-002,154,65,0,65,0,0,65
09-039-001,1109,679,0,678,-1,10,668
09-039-002,1174,585,0,584,-1,17,567
09-039-003,1049,571,0,571,0,10,561
09-039-004,1084,560,0,560,0,7,553
09-040-001,896,446,0,449,3,33,416
09-040-002,926,475,0,475,0,2,473
09-040-003,932,406,0,406,0,3,403
09-040-004,915,473,1,471,-2,5,466
09-040-005,931,524,0,524,0,12,512
09-041-001,986,590,0,589,-1,14,575
09-042-001,487,286,0,285,-1,8,277
09-043-001,583,317,0,317,0,6,311
09-043-002,591,350,0,350,0,7,343
09-043-003,587,317,0,316,-1,12,304
09-043-004,596,320,0,320,0,8,312
09-043-005,570,298,0,297,-1,10,287
09-043-006,589,256,0,256,0,13,243
09-043-007,432,216,0,216,0,8,208
09-043-008,68,38,0,38,0,0,38
09-044-001,718,331,0,331,0,16,315
09-044-002,904,457,0,457,0,17,440
09-045-001,578,331,0,332,1,13,319
09-046-001,683,366,0,368,2,27,341
09-046-002,71,27,0,27,0,0,27
09-047-001,1025,518,0,517,-1,5,512
09-047-002,899,370,0,370,0,10,360
09-047-003,1156,461,0,461,0,11,450
09-047-004,1055,402,0,401,-1,18,383
09-047-005,755,300,0,299,-1,7,292
09-047-006,817,346,0,344,-2,8,336
09-048-001,662,470,0,470,0,11,459
09-049-001,547,303,1,303,0,3,300
09-050-001,502,330,0,330,0,9,321
09-051-001,831,418,0,418,0,4,414
09-051-002,797,457,0,457,0,5,452
09-051-003,823,441,0,441,0,1,440
09-051-004,824,428,0,428,0,5,423
09-051-005,830,363,0,362,-1,5,357
09-052-001,828,494,0,494,0,6,488
09-052-002,944,543,0,544,1,32,512
09-053-001,1231,728,0,728,0,10,718
09-053-002,1110,709,2,706,-3,11,695
09-054-001,1058,580,0,578,-2,17,561
09-055-001,835,501,0,501,0,9,492
09-055-002,834,495,0,495,0,21,474
09-056-001,1297,752,0,751,-1,12,739
09-056-002,1304,634,0,634,0,14,620
09-056-003,1350,694,0,693,-1,8,685
09-056-004,1367,624,0,623,-1,11,612
09-056-005,1400,706,0,706,0,6,700
09-057-001,439,289,0,289,0,6,283
09-057-002,807,499,0,498,-1,10,488
09-057-003,597,381,0,381,0,10,371
09-057-004,933,616,0,616,0,12,604
09-057-005,79,47,0,47,0,4,43
09-057-006,175,109,0,109,0,0,109
09-058-001,735,452,0,452,0,0,452
09-058-002,749,458,0,458,0,7,451
09-058-003,649,380,0,380,0,8,372
09-058-004,571,387,0,387,0,4,383
09-058-005,833,528,0,528,0,30,498
09-058-006,1139,588,0,586,-2,27,559
09-058-007,747,399,0,399,0,8,391
09-058-008,404,157,0,155,-2,5,150
09-059-001,826,506,0,505,-1,6,499
09-059-002,812,482,0,480,-2,8,472
09-059-003,562,339,0,337,-2,7,330
09-059-004,771,408,0,408,0,14,394
09-059-005,78,51,0,51,0,1,50
09-060-001,779,533,0,532,-1,9,523
09-060-002,790,588,0,588,0,9,579
09-061-001,883,459,1,457,-2,15,442
09-061-002,1073,629,0,628,-1,16,612
09-062-001,819,372,0,372,0,2,370
09-062-002,873,384,0,383,-1,8,375
09-062-003,837,386,0,386,0,4,382
09-062-004,711,251,0,250,-1,1,249
09-062-005,1003,451,0,450,-1,9,441
09-062-006,1112,321,0,321,0,1,320
09-062-007,937,201,0,201,0,2,199
09-063-001,680,404,0,404,0,9,395
09-063-002,590,376,0,376,0,7,369
09-063-003,638,381,0,381,0,4,377
09-063-004,747,427,0,427,0,6,421
09-063-005,690,390,0,390,0,9,381
09-063-006,633,360,0,360,0,5,355
09-063-007,723,438,0,438,0,2,436
09-063-008,720,413,0,413,0,3,410
09-063-009,792,475,0,475,0,2,473
09-063-010,636,395,0,395,0,6,389
09-063-011,666,359,0,359,0,4,355
