SZAVAZOKOR,MEGYEKOD,MEGYE,TELEPULES_SORSZAM,TELEPULES
01-002-033,01,BUDAPEST,002,Budapest II.ker.
01-002-034,01,BUDAPEST,002,Budapest II.ker.
01-002-035,01,BUDAPEST,002,Budapest II.ker.
01-002-036,01,BUDAPEST,002,Budapest II.ker.
01-002-037,01,BUDAPEST,002,Budapest II.ker.
01-002-038,01,BUDAPEST,002,Budapest II.ker.
01-002-039,01,BUDAPEST,002,Budapest II.ker.
01-002-040,01,BUDAPEST,002,Budapest II.ker.
01-002-041,01,BUDAPEST,002,Budapest II.ker.
01-002-042,01,BUDAPEST,002,Budapest II.ker.
01-002-043,01,BUDAPEST,002,Budapest II.ker.
